Time (ns);Current (nA);Voltage (mV);Energy (uJ);DSR
"244068000";"1586400";"3295";"1288.7";""
"244902000";"1586400";"3296";"1293.3";""
"245737000";"1586400";"3295";"1297.8";""
"246820000";"1546600";"3295";"1302.7";""
"247720000";"1546600";"3295";"1307.6";""
"248555000";"1546600";"3295";"1312.1";""
"249394000";"1546600";"3295";"1316.7";""
"250228000";"1546600";"3295";"1321.2";""
"251312000";"1546600";"3295";"1326.1";""
"252211000";"1546600";"3295";"1330.6";""
"253044000";"1546600";"3295";"1335.6";""
"253878000";"1546600";"3295";"1340.1";""
"254713000";"1546600";"3296";"1344.6";""
"255788000";"1546600";"3295";"1349.5";""
"256696000";"1575900";"3296";"1354.1";""
"257530000";"1575900";"3296";"1359.0";""
"258363000";"1575900";"3296";"1363.5";""
"259203000";"1575900";"3296";"1368.0";""
"260287000";"1575900";"3296";"1372.9";""
"261185000";"1575900";"3296";"1377.5";""
"262020000";"1575900";"3296";"1382.0";""
"262854000";"1575900";"3296";"1386.5";""
"263691000";"1575900";"3296";"1391.1";""
"264776000";"1575900";"3296";"1396.0";""
"265676000";"1575900";"3296";"1400.9";""
"266511000";"1585700";"3296";"1405.4";""
"267344000";"1585700";"3296";"1409.9";""
"268177000";"1585700";"3296";"1414.5";""
"269266000";"1585700";"3296";"1419.4";""
"270166000";"1585700";"3296";"1423.9";""
"271000000";"1585700";"3296";"1428.4";""
"271834000";"1585700";"3296";"1433.0";""
"272667000";"1585700";"3296";"1437.9";""
"273750000";"1585700";"3296";"1442.8";""
"274650000";"1585700";"3296";"1447.3";""
"275485000";"1585700";"3296";"1451.9";""
"276319000";"1574900";"3296";"1456.4";""
"277152000";"1574900";"3296";"1461.3";""
"278236000";"1574900";"3297";"1466.2";""
"279140000";"1574900";"3296";"1470.7";""
"279974000";"1574900";"3296";"1475.3";""
"280808000";"1574900";"3296";"1479.8";""
"281643000";"1574900";"3296";"1484.3";""
"282726000";"1574900";"3296";"1489.2";""
"283625000";"1574900";"3296";"1494.1";""
"284459000";"1574900";"3296";"1498.7";""
"285293000";"1574900";"3296";"1503.2";""
"286127000";"1586900";"3296";"1507.7";""
"287211000";"1586900";"3296";"1512.7";""
"288110000";"1586900";"3296";"1517.2";""
"288950000";"1586900";"3296";"1521.7";""
"289784000";"1586900";"3296";"1526.2";""
"290618000";"1586900";"3296";"1530.8";""
"291702000";"1586900";"3296";"1535.7";""
"292601000";"1586900";"3296";"1540.6";""
"293434000";"1586900";"3296";"1545.1";""
"294269000";"1586900";"3296";"1549.7";""
"295104000";"1586900";"3296";"1554.2";""
"296187000";"1546700";"3296";"1559.1";""
"297085000";"1546700";"3296";"1564.0";""
"297919000";"1546700";"3296";"1568.5";""
"298759000";"1546700";"3296";"1573.1";""
"299593000";"1546700";"3296";"1577.6";""
"300677000";"1546700";"3296";"1582.5";""
"301577000";"1546700";"3296";"1587.4";""
"302411000";"1546700";"3296";"1592.0";""
"303246000";"1546700";"3296";"1596.5";""
"304079000";"1546700";"3296";"1601.0";""
"305163000";"1546700";"3296";"1605.9";""
"306067000";"1575100";"3296";"1610.5";""
"306900000";"1575100";"3296";"1615.0";""
"307734000";"1575100";"3296";"1619.5";""
"308569000";"1575100";"3296";"1624.1";""
"309659000";"1575100";"3296";"1629.0";""
"310558000";"1575100";"3296";"1633.9";""
"311392000";"1575100";"3296";"1638.4";""
"312226000";"1575100";"3296";"1642.9";""
"313060000";"1575100";"3296";"1647.5";""
"314143000";"1575100";"3296";"1652.4";""
"315043000";"1575100";"3296";"1657.3";""
"315876000";"1586600";"3296";"1661.8";""
"316711000";"1586600";"3296";"1666.3";""
"317544000";"1586600";"3296";"1670.9";""
"318627000";"1586600";"3296";"1675.8";""
"319533000";"1586600";"3296";"1680.7";""
"320367000";"1586600";"3296";"1685.2";""
"321200000";"1586600";"3296";"1689.8";""
"322035000";"1586600";"3296";"1694.3";""
"323118000";"1586600";"3296";"1699.2";""
"324017000";"1586600";"3296";"1703.7";""
"324852000";"1586600";"3296";"1708.3";""
"325686000";"1574700";"3296";"1712.8";""
"326520000";"1574700";"3296";"1717.3";""
"327604000";"1574700";"3296";"1722.2";""
"328504000";"1574700";"3296";"1727.1";""
"329343000";"1574700";"3296";"1731.7";""
"330177000";"1574700";"3296";"1736.2";""
"331011000";"1574700";"3296";"1740.7";""
"332095000";"1574700";"3296";"1745.6";""
"332994000";"1574700";"3296";"1750.2";""
"333829000";"1574700";"3296";"1754.7";""
"334663000";"1574700";"3296";"1759.6";""
"335496000";"1586500";"3296";"1764.1";""
"336580000";"1586500";"3296";"1769.1";""
"337479000";"1586500";"3296";"1773.6";""
"338313000";"1586500";"3296";"1778.1";""
"339153000";"1586500";"3296";"1783.0";""
"339986000";"1586500";"3297";"1787.6";""
"341070000";"1586500";"3297";"1792.5";""
"341968000";"1586500";"3297";"1797.0";""
"342802000";"1586500";"3297";"1801.5";""
"343637000";"1586500";"3297";"1806.1";""
"344472000";"1586500";"3297";"1810.6";""
"345555000";"1546900";"3297";"1815.5";""
"346455000";"1546900";"3296";"1820.0";""
"347350000";"1546900";"3296";"1824.9";""
"348184000";"1546900";"3296";"1829.5";""
"349024000";"1546900";"3296";"1834.0";""
"350107000";"1546900";"3296";"1838.9";""
"351005000";"1546900";"3296";"1843.4";""
"351840000";"1546900";"3296";"1848.0";""
"352674000";"1546900";"3296";"1852.5";""
"353508000";"1546900";"3297";"1857.4";""
"354592000";"1546900";"3297";"1862.3";""
"355492000";"1566100";"3297";"1866.8";""
"356326000";"1566100";"3297";"1871.4";""
"357160000";"1566100";"3297";"1876.3";""
"357993000";"1566100";"3297";"1880.8";""
"359082000";"1566100";"3297";"1885.7";""
