Time (ns);Current (nA);Voltage (mV);Energy (uJ);DSR
"599868000";"3649200";"3297";"6902.8";""
"601369000";"3649200";"3297";"6922.6";""
"602567000";"3649200";"3297";"6934.0";""
"603914000";"3628700";"3297";"6953.8";""
"605053000";"3628700";"3297";"6964.5";""
"606186000";"3628700";"3297";"6975.5";""
"607687000";"3628700";"3297";"6995.3";"0xA85000000C040A00"
"608885000";"3199700";"3297";"7006.3";""
"610018000";"3199700";"3297";"7017.3";""
"611270000";"3199700";"3297";"7036.8";""
"612403000";"3199700";"3297";"7047.8";""
"613903000";"3699700";"3297";"7067.6";""
"615107000";"3699700";"3297";"7078.6";""
"616357000";"3699700";"3297";"7098.0";""
"617490000";"3699700";"3297";"7109.1";""
"618622000";"3346100";"3297";"7119.7";""
"620123000";"3346100";"3297";"7139.9";"0x805000000C040A00"
"621322000";"3346100";"3297";"7150.9";""
"622670000";"3846300";"3297";"7171.1";""
"623803000";"3846300";"3298";"7182.1";""
"624941000";"3846300";"3298";"7193.1";""
"626442000";"3846300";"3298";"7212.9";"0xA85000000C040A00"
"627641000";"3222600";"3298";"7223.9";""
"628892000";"3222600";"3298";"7243.0";""
"630025000";"3222600";"3297";"7254.0";""
"631158000";"3222600";"3297";"7265.0";""
"632659000";"3677100";"3298";"7284.8";""
"633857000";"3677100";"3298";"7295.9";""
"635216000";"3677100";"3298";"7316.0";"0x885000000C040A00"
"636348000";"3677100";"3298";"7327.1";""
"637482000";"3345900";"3298";"7338.1";""
"638983000";"3345900";"3298";"7358.3";""
"640181000";"3345900";"3298";"7369.3";""
"641313000";"3345900";"3298";"7380.3";""
"642565000";"3652400";"3297";"7399.3";"0xA85000000C040A00"
"643698000";"3652400";"3297";"7410.4";""
"645205000";"3652400";"3297";"7430.5";""
"646402000";"3652400";"3297";"7441.6";""
"647654000";"3647800";"3297";"7460.6";""
"648786000";"3647800";"3297";"7471.6";""
"649920000";"3647800";"3297";"7482.7";""
"651420000";"3647800";"3297";"7502.5";"0x805000000C040A00"
"652619000";"3249700";"3297";"7513.9";""
"653968000";"3249700";"3297";"7533.7";""
"655107000";"3249700";"3297";"7544.7";""
"656240000";"3249700";"3297";"7556.1";""
"657740000";"3670600";"3297";"7575.9";"0xA85000000C040A00"
"658937000";"3670600";"3297";"7586.9";""
"660071000";"3670600";"3297";"7597.9";""
"661322000";"3670600";"3297";"7617.4";""
"662455000";"3373800";"3297";"7628.4";""
"663956000";"3373800";"3297";"7648.2";"0x805000000C040A00"
"665160000";"3373800";"3298";"7659.2";"0xAA5101B18C040E20"
"666292000";"3373800";"3298";"7670.2";"0xA85000010C040A00"
"667424000";"3200100";"3298";"7680.9";""
"668557000";"3200100";"3298";"7691.9";""
"670058000";"3200100";"3298";"7711.7";"0x805000000C040A00"
"671256000";"3200100";"3298";"7723.1";""
"672604000";"3628200";"3297";"7742.9";""
"673737000";"3628200";"3297";"7753.9";""
"674875000";"3628200";"3297";"7764.9";""
"676375000";"3628200";"3297";"7784.7";"0xA85000000C040A00"
"677578000";"3220900";"3297";"7795.7";"0xA85101B10C040A00"
"678711000";"3220900";"3297";"7806.8";""
"679843000";"3220900";"3297";"7817.4";""
"680977000";"3220900";"3297";"7828.4";""
"682478000";"3245900";"3297";"7848.2";""
"683676000";"3245900";"3297";"7859.2";""
"684815000";"3245900";"3297";"7870.3";""
"686066000";"3245900";"3297";"7889.7";"0xA85000000C040A00"
"687199000";"3344700";"3297";"7900.3";""
"688691000";"3344700";"3297";"7920.5";""
"689898000";"3344700";"3297";"7931.5";""
"691032000";"3344700";"3297";"7942.6";""
"692283000";"3651500";"3298";"7961.6";""
"693415000";"3651500";"3297";"7972.6";""
"694922000";"3651500";"3298";"7992.8";""
"696119000";"3651500";"3297";"8003.8";""
"697370000";"3649200";"3297";"8022.9";""
"698503000";"3649200";"3297";"8033.9";""
"699637000";"3649200";"3297";"8044.9";""
"701137000";"3649200";"3297";"8064.7";"0x805000000C040A00"
"702336000";"3249300";"3297";"8076.1";"0xA85101B10C040A00"
"703468000";"3249300";"3297";"8086.8";""
"704606000";"3249300";"3297";"8097.4";""
"705740000";"3249300";"3298";"8108.4";""
"707241000";"3219300";"3297";"8128.2";""
"708438000";"3219300";"3298";"8139.2";""
"709571000";"3219300";"3298";"8150.3";""
"710822000";"3219300";"3298";"8169.7";"0xA85000000C040A00"
"711954000";"3374800";"3298";"8180.7";""
"713454000";"3374800";"3298";"8200.5";""
"714657000";"3374800";"3298";"8211.9";""
"715791000";"3374800";"3298";"8222.9";""
"717042000";"3648700";"3298";"8242.0";""
"718175000";"3648700";"3298";"8253.0";""
"719680000";"3648700";"3298";"8273.2";""
"720878000";"3648700";"3298";"8284.2";""
"722011000";"3247200";"3298";"8295.2";""
"723263000";"3247200";"3298";"8314.3";""
