Time (ns);Current (nA);Voltage (mV);Energy (uJ);DSR
"336353000";"1639300";"3298";"1866.1";"0x2BF101AF8C000E30"
"337185000";"1639300";"3298";"1870.6";""
"338269000";"1639300";"3297";"1875.9";"0x3F0442484000E30"
"339168000";"1639300";"3297";"1880.8";"0x2BF101AF8C000E30"
"340000000";"1639300";"3297";"1885.4";""
"340833000";"1639300";"3297";"1889.9";"0xBF0441A84000E30"
"341667000";"1639500";"3297";"1894.9";"0x3F101AA84000E30"
"342749000";"1639500";"3297";"1900.2";""
"343648000";"1639500";"3298";"1905.1";"0xBF0440284000E30"
"344482000";"1639500";"3298";"1910.0";"0x3F100FC84000E30"
"345321000";"1639500";"3298";"1914.6";"0x2BF101AF8C000E30"
"346155000";"1639500";"3298";"1919.1";"0xBF101B084000E30"
"347230000";"1639500";"3298";"1924.4";"0x2BF101AF8C000E30"
"348136000";"1639500";"3297";"1929.3";""
"348968000";"1639500";"3297";"1933.9";""
"349800000";"1639500";"3297";"1938.4";"0x3F0442284000E30"
"350634000";"1639500";"3297";"1943.3";"0x2BF101AF8C000E30"
"351717000";"1610100";"3297";"1948.3";"0x3F101A084000E30"
"352616000";"1610100";"3297";"1953.2";"0xBF0440E84000E30"
"353449000";"1610100";"3297";"1958.1";"0x3F101A084000E30"
"354283000";"1610100";"3297";"1963.0";"0x2BF101AF8C000E30"
"355122000";"1610100";"3297";"1967.6";"0xBF0440284000E30"
"356197000";"1610100";"3297";"1972.9";"0x2BF101AF8C000E30"
"357103000";"1610100";"3297";"1977.4";""
"357936000";"1610100";"3297";"1982.4";""
"358769000";"1610100";"3297";"1986.9";"0x3F0442484000E30"
"359602000";"1610100";"3297";"1991.8";"0x2BF101AF8C000E30"
"360685000";"1610100";"3297";"1996.7";"0x3F101A884000E30"
"361584000";"1640200";"3297";"2001.7";"0xBF0441A84000E30"
"362418000";"1640200";"3297";"2006.6";"0x3F101AA84000E30"
"363257000";"1640200";"3297";"2011.5";"0x2BF101AF8C000E30"
"364090000";"1640200";"3296";"2016.1";"0xBF0440A84000E30"
"365178000";"1640200";"3297";"2021.4";""
"366076000";"1640200";"3297";"2026.3";"0x2BF101AF8C000E30"
"366909000";"1640200";"3297";"2030.8";"0xBF101B084000E30"
"367742000";"1640200";"3297";"2035.8";"0x3F100F484000E30"
"368576000";"1640200";"3297";"2040.3";"0x2BF101AF8C000E30"
"369659000";"1640200";"3297";"2045.6";""
"370557000";"1640200";"3297";"2050.1";"0x3F0442484000E30"
"371392000";"1650400";"3297";"2055.1";"0x2BF101AF8C000E30"
"372224000";"1650400";"3297";"2059.6";""
"373057000";"1650400";"3297";"2064.2";"0xBF0441284000E30"
"374141000";"1650400";"3297";"2069.5";""
"375045000";"1650400";"3297";"2074.4";"0x2BF101AF8C000E30"
"375878000";"1650400";"3297";"2078.9";"0xBF0440A84000E30"
"376712000";"1650400";"3296";"2083.9";"0x3F101A084000E30"
"377545000";"1650400";"3296";"2088.8";"0x2BF101AF8C000E30"
"378628000";"1650400";"3296";"2093.7";""
"379527000";"1650400";"3296";"2098.6";"0x3F101B084000E30"
"380360000";"1650400";"3296";"2103.6";"0x2BF101AF8C000E30"
"381193000";"1639600";"3296";"2108.1";""
"382026000";"1639600";"3296";"2112.7";"0x3F0442284000E30"
"383109000";"1639600";"3296";"2118.0";"0xBF0440A84000E30"
"384008000";"1639600";"3296";"2122.9";"0x2BF101AF8C000E30"
"384847000";"1639600";"3296";"2127.4";"0xBF0441284000E30"
"385680000";"1639600";"3296";"2132.3";"0x3F101A884000E30"
"386514000";"1639600";"3296";"2137.3";"0x2BF101AF8C000E30"
"387596000";"1639600";"3296";"2142.2";""
"388495000";"1639600";"3296";"2147.1";"0x3F100F884000E30"
"389328000";"1639600";"3296";"2152.0";"0x2BF101AF8C000E30"
"390161000";"1639600";"3297";"2156.6";""
"390994000";"1639500";"3297";"2161.1";"0x3F0442484000E30"
"392077000";"1639500";"3297";"2166.4";"0x2BF101AF8C000E30"
"392976000";"1639500";"3297";"2171.0";""
"393808000";"1639500";"3297";"2175.5";"0xBF0441A84000E30"
"394642000";"1639500";"3297";"2180.5";"0x2BF101AF8C000E30"
"395480000";"1639500";"3297";"2185.0";""
"396564000";"1639500";"3297";"2190.3";""
"397462000";"1639500";"3297";"2194.8";"0x3F101A084000E30"
"398297000";"1639500";"3297";"2199.8";"0x2BF101AF8C000E30"
"399130000";"1639500";"3297";"2204.3";"0xBF101B084000E30"
"399964000";"1639500";"3297";"2209.2";"0x3F1010084000E30"
"401048000";"1609600";"3296";"2214.5";""
"401946000";"1609600";"3297";"2219.5";"0x2BF101AF8C000E30"
"402779000";"1609600";"3297";"2224.4";"0x3F0442284000E30"
"403613000";"1609600";"3297";"2229.3";"0x2BF101AF8C000E30"
"404490000";"1609600";"3297";"2233.9";"0xBF0440E84000E30"
"405579000";"1609600";"3297";"2239.2";""
"406478000";"1609600";"3297";"2244.1";"0x2BF101AF8C000E30"
"407310000";"1609600";"3297";"2248.6";"0xBF0440284000E30"
"408143000";"1609600";"3297";"2253.6";"0x3F100F884000E30"
