Time (ns);Current (nA);Voltage (mV);Energy (uJ);DSR
"328209000";"2222800";"3295";"2408.0";""
"329283000";"2222800";"3295";"2413.3";""
"330482000";"2222800";"3295";"2422.4";""
"331616000";"2222800";"3295";"2431.1";""
"332749000";"2208000";"3295";"2440.2";""
"333882000";"2208000";"3295";"2448.9";""
"334957000";"2208000";"3295";"2454.2";""
"336161000";"2208000";"3295";"2463.3";""
"337294000";"2208000";"3296";"2472.0";""
"338428000";"2208000";"3296";"2481.1";""
"339562000";"2223100";"3296";"2490.1";""
"340637000";"2223100";"3296";"2495.1";""
"341836000";"2223100";"3296";"2504.1";""
"342969000";"2223100";"3296";"2512.9";""
"344103000";"2223100";"3296";"2521.9";""
"345236000";"2223100";"3296";"2530.7";""
"346321000";"2223100";"3296";"2535.9";""
"347520000";"2089900";"3296";"2545.0";""
"348654000";"2089900";"3296";"2553.7";""
"349786000";"2089900";"3296";"2562.8";""
"350919000";"2089900";"3296";"2571.5";""
"351993000";"2089900";"3296";"2576.8";""
"353191000";"2089900";"3296";"2585.9";""
"354324000";"2209200";"3296";"2594.6";""
"355464000";"2209200";"3296";"2603.7";""
"356597000";"2209200";"3296";"2612.8";""
"357670000";"2209200";"3296";"2617.7";""
"358869000";"2209200";"3296";"2626.8";""
"360002000";"2209200";"3296";"2635.9";""
"361136000";"2223700";"3296";"2644.6";""
"362269000";"2223700";"3296";"2653.7";""
"363344000";"2223700";"3296";"2658.6";""
"364542000";"2223700";"3296";"2667.7";""
"365680000";"2223700";"3296";"2676.4";""
"366814000";"2223700";"3296";"2685.5";""
"367947000";"2206700";"3296";"2694.2";""
"369021000";"2206700";"3296";"2699.5";""
"370221000";"2206700";"3296";"2708.6";""
"371354000";"2206700";"3296";"2717.3";""
"372487000";"2206700";"3297";"2726.4";""
"373621000";"2206700";"3297";"2735.1";""
"374695000";"2206700";"3297";"2740.4";""
"375898000";"2106200";"3297";"2749.5";""
"377033000";"2106200";"3297";"2758.2";""
"378167000";"2106200";"3297";"2767.3";""
"379300000";"2106200";"3297";"2776.0";""
"380375000";"2106200";"3297";"2781.3";""
"381575000";"2106200";"3297";"2790.4";""
"382707000";"2207600";"3297";"2799.1";""
"383840000";"2207600";"3297";"2808.2";""
"384974000";"2207600";"3297";"2816.9";""
"386053000";"2207600";"3297";"2822.2";""
"387251000";"2207600";"3297";"2830.9";""
"388389000";"2207600";"3297";"2840.0";""
"389523000";"2205300";"3297";"2848.7";""
"390657000";"2205300";"3297";"2857.8";""
"391731000";"2205300";"3297";"2862.7";""
"392930000";"2205300";"3297";"2871.8";""
"394063000";"2205300";"3297";"2880.9";""
"395197000";"2205300";"3297";"2889.6";""
"396336000";"2223300";"3297";"2898.7";""
"397410000";"2223300";"3297";"2904.0";""
"398609000";"2223300";"3297";"2913.0";""
"399742000";"2223300";"3297";"2921.8";""
"400875000";"2223300";"3297";"2930.9";""
"402009000";"2223300";"3297";"2939.6";""
"403083000";"2223300";"3297";"2944.9";""
"404283000";"2107400";"3297";"2953.9";""
"405422000";"2107400";"3297";"2962.7";""
"406556000";"2107400";"3296";"2971.4";""
"407689000";"2107400";"3296";"2980.5";""
"408763000";"2107400";"3296";"2985.7";""
"409962000";"2107400";"3296";"2994.5";""
"411097000";"2206100";"3296";"3003.5";""
"412230000";"2206100";"3296";"3012.3";""
"413363000";"2206100";"3296";"3021.3";""
"414437000";"2206100";"3296";"3026.3";""
"415642000";"2206100";"3296";"3035.3";""
"416776000";"2206100";"3296";"3044.4";""
"417909000";"2206500";"3296";"3053.1";""
"419042000";"2206500";"3296";"3062.2";""
"420117000";"2206500";"3296";"3067.5";""
"421315000";"2206500";"3296";"3076.2";""
"422448000";"2206500";"3296";"3085.3";""
"423581000";"2206500";"3296";"3094.0";""
"424714000";"2225600";"3296";"3103.1";""
"425794000";"2225600";"3296";"3108.4";""
"426993000";"2225600";"3296";"3117.1";""
"428126000";"2225600";"3296";"3126.2";""
"429260000";"2225600";"3296";"3134.9";""
"430399000";"2225600";"3296";"3144.0";""
"431472000";"2225600";"3296";"3149.3";""
"432670000";"2090400";"3296";"3158.0";""
"433804000";"2090400";"3296";"3167.1";""
"434937000";"2090400";"3296";"3175.8";""
"436077000";"2090400";"3296";"3184.9";""
"437150000";"2090400";"3296";"3190.2";""
"438350000";"2090400";"3296";"3199.3";""
"439482000";"2223500";"3296";"3208.0";""
"440616000";"2223500";"3296";"3217.1";""
"441750000";"2223500";"3296";"3225.8";""
"442825000";"2223500";"3296";"3231.1";""
"444022000";"2223500";"3296";"3240.2";""
"445156000";"2223500";"3296";"3248.9";""
"446295000";"2206300";"3296";"3257.6";""
"447428000";"2206300";"3296";"3266.7";""
"448503000";"2206300";"3296";"3272.0";""
